no,user,appliance_type,items,quantities,rating
1,user196,home,"TOASTER,KITCHEN SET,TELEVISION","2,4,4",4
2,user13,home,"KITCHEN SET,DISH WASHER,WASHING MACHINE","3,3,4",4
3,user61,office,"WAITING LOUNGE,CAMERA,COFFEE MACHINE","3,2,4",8
4,user47,home,DISH WASHER,4,3
5,user133,office,CAMERA,4,7
6,user403,home,"SHOW CASE,WASHING MACHINE,TELEVISION","4,2,2",3
7,user387,home,"TELEVISION,DISH WASHER","3,2",3
8,user347,home,"SHOW CASE,WASHING MACHINE,TOASTER","1,3,3",9
9,user429,office,"LAZER PRINTER,WAITING LOUNGE","2,4",7
10,user21,office,"LAZER PRINTER,CAMERA","2,1",6
11,user438,home,"DOUBLE COT,VACCUM CLEANER,BLENDER","3,2,3",2
12,user43,home,"DRESSING TABLE,VACCUM CLEANER","1,1",7
13,user384,home,"DISH WASHER,DOUBLE COT,VACCUM CLEANER,BLENDER","4,1,3,2",1
14,user434,home,"REFRIGERATOR,BLENDER,DOUBLE COT,DRESSING TABLE","2,2,3,3",7
15,user388,office,"CALCULATOR,WAITING LOUNGE,MARKER,SECURITY LOCK","4,2,4,3",4
16,user396,home,"REFRIGERATOR,VACCUM CLEANER,TOASTER,DISH WASHER","4,4,1,4",1
17,user287,home,"VACCUM CLEANER,WASHING MACHINE","2,4",10
18,user246,home,"SHOW CASE,VACCUM CLEANER,REFRIGERATOR","2,2,3",9
19,user374,home,"DOUBLE COT,DRESSING TABLE","3,1",10
20,user51,home,WASHING MACHINE,4,2
21,user80,home,"TOASTER,SHOW CASE,BLENDER","2,2,1",5
22,user399,office,WAITING LOUNGE,1,7
23,user41,home,REFRIGERATOR,2,2
24,user393,home,VACCUM CLEANER,4,8
25,user442,home,"VACCUM CLEANER,KITCHEN SET","2,2",10
26,user452,office,"CAMERA,SECURITY LOCK,COFFEE MACHINE,LAZER PRINTER","4,4,2,3",5
27,user410,home,"TELEVISION,TOASTER,VACCUM CLEANER","4,3,3",7
28,user244,home,"DISH WASHER,BLENDER","3,2",6
