no,user,appliance_type,items,quantities,rating
1,user39,office,"SHREDDER,CAMERA,MARKER,LAZER PRINTER","4,1,2,3",4
2,user138,home,"SHOW CASE,REFRIGERATOR,DRESSING TABLE","4,2,2",2
3,user197,home,"REFRIGERATOR,SHOW CASE","3,2",4
4,user292,home,"TOASTER,WASHING MACHINE,REFRIGERATOR,BLENDER","3,2,3,4",1
5,user306,office,"LAZER PRINTER,CAMERA,WAITING LOUNGE,SHREDDER","2,2,2,2",2
6,user351,home,"TOASTER,BLENDER,OVEN","1,3,3",1
7,user461,office,"SHREDDER,COFFEE MACHINE","1,2",2
8,user212,office,"WAITING LOUNGE,COFFEE MACHINE","3,1",4
9,user476,home,TOASTER,3,5
10,user181,office,"MARKER,PAPER CLIP,COMPUTER","4,2,3",2
11,user317,home,"DRESSING TABLE,VACCUM CLEANER,BLENDER,TELEVISION","3,4,1,4",2
12,user308,office,"COFFEE MACHINE,MARKER,CALCULATOR,LAZER PRINTER","3,4,3,3",1
13,user7,home,"TELEVISION,VACCUM CLEANER","2,4",2
14,user265,home,"DISH WASHER,TELEVISION","1,4",5
15,user278,home,"WASHING MACHINE,DISH WASHER,DRESSING TABLE","2,4,1",4
16,user249,home,DISH WASHER,4,5
17,user302,office,"LAZER PRINTER,SECURITY LOCK,COFFEE MACHINE","3,4,3",2
18,user121,office,MARKER,4,5
19,user286,office,PAPER CLIP,4,2
20,user382,office,MARKER,2,4
21,user183,home,"WASHING MACHINE,DRESSING TABLE","2,1",2
22,user277,office,PAPER CLIP,3,3
23,user152,office,MARKER,4,4
24,user229,home,"DRESSING TABLE,VACCUM CLEANER,KITCHEN SET","2,3,1",5
25,user182,home,"DRESSING TABLE,VACCUM CLEANER,WASHING MACHINE","3,1,2",1
26,user167,office,"LAZER PRINTER,COMPUTER,COFFEE MACHINE","3,4,4",2
27,user426,home,"DISH WASHER,WASHING MACHINE,TOASTER","4,3,1",5
28,user89,home,"KITCHEN SET,TELEVISION,DISH WASHER","3,1,2",3
29,user252,home,"BLENDER,VACCUM CLEANER,DISH WASHER,SHOW CASE","2,2,1,2",3
30,user232,office,CAMERA,3,3
31,user198,home,"VACCUM CLEANER,TELEVISION,REFRIGERATOR","4,3,2",1
32,user412,office,MARKER,4,5
33,user171,home,"TELEVISION,DOUBLE COT,SHOW CASE,KITCHEN SET","2,4,4,4",3
34,user461,home,"OVEN,SHOW CASE,DISH WASHER,TELEVISION","3,3,1,3",3
35,user268,home,REFRIGERATOR,4,5
36,user83,home,"REFRIGERATOR,TOASTER","2,1",4
37,user358,home,"REFRIGERATOR,SHOW CASE,WASHING MACHINE,KITCHEN SET","1,3,4,1",3
38,user483,home,"TELEVISION,DOUBLE COT,SHOW CASE","1,1,2",5
39,user489,home,DISH WASHER,4,1
40,user489,home,"TOASTER,WASHING MACHINE,VACCUM CLEANER","3,2,3",3
41,user62,office,"CALCULATOR,CAMERA,COFFEE MACHINE,SHREDDER","2,2,2,1",4
42,user168,office,"SHREDDER,WAITING LOUNGE,LAZER PRINTER","2,1,2",4
43,user232,home,"BLENDER,TOASTER,SHOW CASE","4,3,3",5
